year,number_countries_in_panel,number_countries_with_default_data,gdp_growth_nonmissing,gdp_growth_share_missing,inflation_nonmissing,inflation_share_missing,current_account_gdp_nonmissing,current_account_gdp_share_missing,external_debt_gni_nonmissing,external_debt_gni_share_missing,debt_service_exports_nonmissing,debt_service_exports_share_missing,reserves_usd_nonmissing,reserves_usd_share_missing,exchange_rate_nonmissing,exchange_rate_share_missing,gdp_current_usd_nonmissing,gdp_current_usd_share_missing,central_gov_debt_gdp_nonmissing,central_gov_debt_gdp_share_missing,total_missing_macro_values,share_all_macro_cells_missing
2005,166,152,157,0.054216867469879526,143,0.13855421686746983,139,0.16265060240963858,113,0.3192771084337349,106,0.3614457831325302,136,0.1807228915662651,152,0.08433734939759041,158,0.048192771084337394,27,0.8373493975903614,363,0.2429718875502008
2006,166,151,157,0.054216867469879526,146,0.12048192771084343,139,0.16265060240963858,115,0.30722891566265065,106,0.3614457831325302,138,0.1686746987951807,152,0.08433734939759041,158,0.048192771084337394,31,0.8132530120481928,352,0.23560910307898258
2007,166,150,157,0.054216867469879526,147,0.11445783132530118,142,0.14457831325301207,115,0.30722891566265065,109,0.34337349397590367,139,0.16265060240963858,152,0.08433734939759041,158,0.048192771084337394,33,0.8012048192771084,342,0.2289156626506024
2008,166,153,157,0.054216867469879526,147,0.11445783132530118,145,0.12650602409638556,118,0.28915662650602414,111,0.3313253012048193,140,0.15662650602409633,152,0.08433734939759041,160,0.03614457831325302,40,0.7590361445783133,324,0.21686746987951808
2009,166,152,159,0.04216867469879515,150,0.09638554216867468,147,0.11445783132530118,118,0.28915662650602414,112,0.32530120481927716,140,0.15662650602409633,152,0.08433734939759041,161,0.030120481927710885,41,0.7530120481927711,314,0.2101740294511379
2010,166,153,160,0.03614457831325302,151,0.09036144578313254,148,0.10843373493975905,118,0.28915662650602414,114,0.3132530120481928,140,0.15662650602409633,152,0.08433734939759041,161,0.030120481927710885,44,0.7349397590361446,306,0.20481927710843373
2011,166,153,160,0.03614457831325302,154,0.07228915662650603,149,0.10240963855421692,118,0.28915662650602414,113,0.3192771084337349,139,0.16265060240963858,155,0.0662650602409639,161,0.030120481927710885,43,0.7409638554216867,302,0.20214190093708165
2012,166,153,159,0.04216867469879515,153,0.07831325301204817,150,0.09638554216867468,117,0.29518072289156627,113,0.3192771084337349,140,0.15662650602409633,155,0.0662650602409639,160,0.03614457831325302,41,0.7530120481927711,306,0.20481927710843373
2013,166,153,159,0.04216867469879515,152,0.08433734939759041,149,0.10240963855421692,117,0.29518072289156627,114,0.3132530120481928,141,0.1506024096385542,156,0.06024096385542166,160,0.03614457831325302,40,0.7590361445783133,306,0.20481927710843373
2014,166,153,160,0.03614457831325302,152,0.08433734939759041,151,0.09036144578313254,117,0.29518072289156627,114,0.3132530120481928,141,0.1506024096385542,156,0.06024096385542166,160,0.03614457831325302,41,0.7530120481927711,302,0.20214190093708165
2015,166,153,160,0.03614457831325302,151,0.09036144578313254,150,0.09638554216867468,119,0.2831325301204819,116,0.3012048192771084,141,0.1506024096385542,156,0.06024096385542166,160,0.03614457831325302,40,0.7590361445783133,301,0.20147255689424365
2016,166,153,159,0.04216867469879515,151,0.09036144578313254,149,0.10240963855421692,119,0.2831325301204819,116,0.3012048192771084,141,0.1506024096385542,156,0.06024096385542166,159,0.04216867469879515,40,0.7590361445783133,304,0.2034805890227577
2017,166,153,159,0.04216867469879515,148,0.10843373493975905,146,0.12048192771084343,119,0.2831325301204819,114,0.3132530120481928,141,0.1506024096385542,156,0.06024096385542166,159,0.04216867469879515,39,0.7650602409638554,313,0.20950468540829986
2018,166,153,159,0.04216867469879515,147,0.11445783132530118,145,0.12650602409638556,119,0.2831325301204819,114,0.3132530120481928,139,0.16265060240963858,154,0.07228915662650603,159,0.04216867469879515,41,0.7530120481927711,317,0.21218206157965194
2019,166,153,158,0.048192771084337394,147,0.11445783132530118,146,0.12048192771084343,118,0.28915662650602414,116,0.3012048192771084,138,0.1686746987951807,154,0.07228915662650603,158,0.048192771084337394,44,0.7349397590361446,315,0.21084337349397592
2020,166,153,158,0.048192771084337394,142,0.14457831325301207,145,0.12650602409638556,118,0.28915662650602414,116,0.3012048192771084,137,0.17469879518072284,156,0.06024096385542166,158,0.048192771084337394,38,0.7710843373493976,326,0.2182061579651941
2021,166,153,158,0.048192771084337394,142,0.14457831325301207,143,0.13855421686746983,118,0.28915662650602414,115,0.30722891566265065,135,0.18674698795180722,153,0.07831325301204817,157,0.054216867469879526,33,0.8012048192771084,340,0.22757697456492637
2022,166,153,158,0.048192771084337394,142,0.14457831325301207,142,0.14457831325301207,118,0.28915662650602414,114,0.3132530120481928,133,0.1987951807228916,153,0.07831325301204817,157,0.054216867469879526,31,0.8132530120481928,346,0.23159303882195448
2023,166,153,157,0.054216867469879526,140,0.15662650602409633,138,0.1686746987951807,115,0.30722891566265065,113,0.3192771084337349,132,0.20481927710843373,151,0.09036144578313254,156,0.06024096385542166,27,0.8373493975903614,365,0.24431057563587685
